"","playerID","yearID","teamID.x","lgID.x","AB","H","HR","RBI","BB","SO","nameFirst","nameLast","nameGiven","salary","HperAB","HRperH","recordID","count","playerCount","fullName"
"282","anderda02",1991,"SFN","NL",226,56,2,13,12,35,"Dave","Anderson","David Carter",6e+05,0.247787610619469,0.0357142857142857,323,1,7,"Dave Anderson"
"283","anderda02",1992,"LAN","NL",84,24,3,8,4,11,"Dave","Anderson","David Carter",350000,0.285714285714286,0.125,324,1,7,"Dave Anderson"
"284","anderga01",1994,"CAL","AL",13,5,0,1,0,2,"Garret","Anderson","Garret Joseph",109000,0.384615384615385,0,325,1,17,"Garret Anderson"
"285","anderga01",1995,"CAL","AL",374,120,16,69,19,65,"Garret","Anderson","Garret Joseph",114000,0.320855614973262,0.133333333333333,326,1,17,"Garret Anderson"
"286","anderga01",1996,"CAL","AL",607,173,12,72,27,84,"Garret","Anderson","Garret Joseph",250000,0.28500823723229,0.069364161849711,327,1,17,"Garret Anderson"
"287","anderga01",1997,"ANA","AL",624,189,8,92,30,70,"Garret","Anderson","Garret Joseph",6e+05,0.302884615384615,0.0423280423280423,328,1,17,"Garret Anderson"
"288","anderga01",1998,"ANA","AL",622,183,15,79,29,80,"Garret","Anderson","Garret Joseph",1500000,0.294212218649518,0.0819672131147541,329,1,17,"Garret Anderson"
"289","anderga01",1999,"ANA","AL",620,188,21,80,34,81,"Garret","Anderson","Garret Joseph",2200000,0.303225806451613,0.111702127659574,330,1,17,"Garret Anderson"
"290","anderga01",2000,"ANA","AL",647,185,35,117,24,87,"Garret","Anderson","Garret Joseph",3250000,0.285935085007728,0.189189189189189,331,1,17,"Garret Anderson"
"291","anderga01",2001,"ANA","AL",672,194,28,123,27,100,"Garret","Anderson","Garret Joseph",4500000,0.288690476190476,0.144329896907216,332,1,17,"Garret Anderson"
"292","anderga01",2002,"ANA","AL",638,195,29,123,30,80,"Garret","Anderson","Garret Joseph",5e+06,0.30564263322884,0.148717948717949,333,1,17,"Garret Anderson"
"293","anderga01",2003,"ANA","AL",638,201,29,116,31,83,"Garret","Anderson","Garret Joseph",5350000,0.315047021943574,0.144278606965174,334,1,17,"Garret Anderson"
"294","anderga01",2004,"ANA","AL",442,133,14,75,29,75,"Garret","Anderson","Garret Joseph",6200000,0.300904977375566,0.105263157894737,335,1,17,"Garret Anderson"
"295","anderga01",2005,"LAA","AL",575,163,17,96,23,84,"Garret","Anderson","Garret Joseph",9600000,0.283478260869565,0.104294478527607,336,1,17,"Garret Anderson"
"296","anderga01",2006,"LAA","AL",543,152,17,85,38,95,"Garret","Anderson","Garret Joseph",10600000,0.279926335174954,0.111842105263158,337,1,17,"Garret Anderson"
"297","anderga01",2007,"LAA","AL",417,124,16,80,27,54,"Garret","Anderson","Garret Joseph",11600000,0.297362110311751,0.129032258064516,338,1,17,"Garret Anderson"
"298","anderga01",2008,"LAA","AL",557,163,15,84,29,77,"Garret","Anderson","Garret Joseph",12600000,0.292639138240575,0.0920245398773006,339,1,17,"Garret Anderson"
"299","anderga01",2009,"ATL","NL",496,133,13,61,27,73,"Garret","Anderson","Garret Joseph",2500000,0.268145161290323,0.0977443609022556,340,1,17,"Garret Anderson"
"300","anderga01",2010,"LAN","NL",155,28,2,12,5,34,"Garret","Anderson","Garret Joseph",550000,0.180645161290323,0.0714285714285714,341,1,17,"Garret Anderson"
